"","Date","Countries","gdp","Nobs"
"102",1800,"France",0.042160714829755,1.57150103455475
"103",1800,"Germany",-0.172876653662036,3.63833992042501
"104",1800,"United Kingdom",2.45246968034214,3.43217187911713
"105",1800,"Belgium",0.992106013002281,0.214285647058545
"106",1800,"Russia",-0.89596934331575,0.0727076297347903
"107",1800,"Iberia",-0.338290014040336,0.199989831732873
"108",1800,"Italy",0.434426683726868,0.496375964909271
"109",1800,"Poland",-1.00466955156435,0.135411660303517
"110",1800,"Scandinavia",-0.46116851032136,2.64718414525572
"111",1850,"Netherlands",3.09994483382291,2.18015778150973
"112",1850,"France",1.10553231726169,1.79969325892074
"113",1850,"Germany",0.871590564726662,4.0730144554195
"114",1850,"United Kingdom",3.9199224916982,3.15349226710996
"115",1850,"Belgium",1.86170767899106,0.921481482036785
